"code"	"d_z"	"check_code"	"name"	"automatic"	"license_type_code"	"d_lic"	"code"	"short_name"
20	Реорганизация	2026	Запрос на проверку наличия заключения МЧС по месту ведения деятельности		4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
20	Реорганизация	2026	Запрос на проверку наличия заключения МЧС по месту ведения деятельности		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
19	Изменение вида продукции	2020	Запрос на проверку регистрации права пользования объектом недвижимости	true	9	закупка, хранение и поставки спиртосодержащей пищевой продукции	9	ЗХП_ССПП
20	Реорганизация	1030	Внесение данных в государственный реестр лицензий		4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
20	Реорганизация	1031	Направление заявителю выписки из государственного реестра лицензий		4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
20	Реорганизация	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
20	Реорганизация	2016	Запрос на проверку государственной регистрации ЮЛ	true	21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
20	Реорганизация	2017	Запрос на проверку статуса ЮЛ	true	21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
20	Реорганизация	2018	Запрос на проверку размера уставного капитала	true	21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
20	Реорганизация	2019	Запрос на проверку постановки ЮЛ на учет в налоговом органе	true	21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
19	Изменение вида продукции	2020	Запрос на проверку регистрации права пользования объектом недвижимости	true	10	закупка, хранение и поставки спиртосодержащей непищевой продукции	10	ЗХП_ССНП
20	Реорганизация	1021	Запрос на проверку отсутствия налоговой задолженности	true	21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
21	Изменение наименования организации	1027	Отзыв заявления о выдаче, продлении, переоформлении		22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
20	Реорганизация	2002	Экспертиза документов		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
20	Реорганизация	2020	Запрос на проверку регистрации права пользования объектом недвижимости	true	1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
19	Изменение вида продукции	2041	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		9	закупка, хранение и поставки спиртосодержащей пищевой продукции	9	ЗХП_ССПП
19	Изменение вида продукции	2041	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		10	закупка, хранение и поставки спиртосодержащей непищевой продукции	10	ЗХП_ССНП
20	Реорганизация	2041	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
20	Реорганизация	2041	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
30	Устранение технических ошибок	2041	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
20	Реорганизация	2041	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
20	Реорганизация	2041	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
20	Реорганизация	2041	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
20	Реорганизация	2041	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
19	Изменение вида продукции	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		9	закупка, хранение и поставки спиртосодержащей пищевой продукции	9	ЗХП_ССПП
19	Изменение вида продукции	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		10	закупка, хранение и поставки спиртосодержащей непищевой продукции	10	ЗХП_ССНП
20	Реорганизация	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
20	Реорганизация	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
20	Реорганизация	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
30	Устранение технических ошибок	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
20	Реорганизация	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
20	Реорганизация	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
20	Реорганизация	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
20	Реорганизация	2020	Запрос на проверку регистрации права пользования объектом недвижимости	true	2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
20	Реорганизация	2020	Запрос на проверку регистрации права пользования объектом недвижимости	true	3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
20	Реорганизация	2020	Запрос на проверку регистрации права пользования объектом недвижимости	true	5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
20	Реорганизация	2020	Запрос на проверку регистрации права пользования объектом недвижимости	true	6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
20	Реорганизация	2020	Запрос на проверку регистрации права пользования объектом недвижимости	true	7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
20	Реорганизация	2020	Запрос на проверку регистрации права пользования объектом недвижимости	true	4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
16	Изменение адреса электронной почты	2018	Запрос на проверку размера уставного капитала	true	9	закупка, хранение и поставки спиртосодержащей пищевой продукции	9	ЗХП_ССПП
28	Включение нового вида продукции	2025	Запрос на проверку наличия заключения Росаккредитации	true	22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
20	Реорганизация	1030	Внесение данных в государственный реестр лицензий		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
20	Реорганизация	1031	Направление заявителю выписки из государственного реестра лицензий		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
21	Изменение наименования организации	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
21	Изменение наименования организации	2016	Запрос на проверку государственной регистрации ЮЛ	true	1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
21	Изменение наименования организации	2017	Запрос на проверку статуса ЮЛ	true	1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
4	Заявление о прекращении	2002	Экспертиза документов		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
21	Изменение наименования организации	2002	Экспертиза документов		1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
21	Изменение наименования организации	1030	Внесение данных в государственный реестр лицензий		1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
21	Изменение наименования организации	1031	Направление заявителю выписки из государственного реестра лицензий		1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
21	Изменение наименования организации	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
21	Изменение наименования организации	2016	Запрос на проверку государственной регистрации ЮЛ	true	2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
21	Изменение наименования организации	2017	Запрос на проверку статуса ЮЛ	true	2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
23	Изменение адреса электронной почты	1027	Отзыв заявления о выдаче, продлении, переоформлении		22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
21	Изменение наименования организации	2002	Экспертиза документов		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
21	Изменение наименования организации	1030	Внесение данных в государственный реестр лицензий		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
21	Изменение наименования организации	1031	Направление заявителю выписки из государственного реестра лицензий		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
21	Изменение наименования организации	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
21	Изменение наименования организации	2016	Запрос на проверку государственной регистрации ЮЛ	true	3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
21	Изменение наименования организации	2017	Запрос на проверку статуса ЮЛ	true	3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
4	Заявление о прекращении	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
21	Изменение наименования организации	2002	Экспертиза документов		3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
21	Изменение наименования организации	1030	Внесение данных в государственный реестр лицензий		3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
21	Изменение наименования организации	1031	Направление заявителю выписки из государственного реестра лицензий		3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
21	Изменение наименования организации	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
21	Изменение наименования организации	2016	Запрос на проверку государственной регистрации ЮЛ	true	5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
21	Изменение наименования организации	2017	Запрос на проверку статуса ЮЛ	true	5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
25	Приведение в соответствие с законодательством	1027	Отзыв заявления о выдаче, продлении, переоформлении		22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
21	Изменение наименования организации	2002	Экспертиза документов		5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
21	Изменение наименования организации	1030	Внесение данных в государственный реестр лицензий		5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
21	Изменение наименования организации	1031	Направление заявителю выписки из государственного реестра лицензий		5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
21	Изменение наименования организации	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
21	Изменение наименования организации	2016	Запрос на проверку государственной регистрации ЮЛ	true	6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
21	Изменение наименования организации	2017	Запрос на проверку статуса ЮЛ	true	6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
26	Включение нового ОП	1027	Отзыв заявления о выдаче, продлении, переоформлении		22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
21	Изменение наименования организации	2002	Экспертиза документов		6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
21	Изменение наименования организации	1030	Внесение данных в государственный реестр лицензий		6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
21	Изменение наименования организации	1031	Направление заявителю выписки из государственного реестра лицензий		6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
21	Изменение наименования организации	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
21	Изменение наименования организации	2016	Запрос на проверку государственной регистрации ЮЛ	true	7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
21	Изменение наименования организации	2017	Запрос на проверку статуса ЮЛ	true	7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
27	Изменение/уточнение местонахождения ОП	1027	Отзыв заявления о выдаче, продлении, переоформлении		22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
21	Изменение наименования организации	2002	Экспертиза документов		7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
21	Изменение наименования организации	1030	Внесение данных в государственный реестр лицензий		7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
21	Изменение наименования организации	1031	Направление заявителю выписки из государственного реестра лицензий		7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
21	Изменение наименования организации	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
21	Изменение наименования организации	2016	Запрос на проверку государственной регистрации ЮЛ	true	4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
21	Изменение наименования организации	2017	Запрос на проверку статуса ЮЛ	true	4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
21	Изменение наименования организации	2002	Экспертиза документов		4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
21	Изменение наименования организации	1030	Внесение данных в государственный реестр лицензий		4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
21	Изменение наименования организации	1031	Направление заявителю выписки из государственного реестра лицензий		4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
21	Изменение наименования организации	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
21	Изменение наименования организации	2016	Запрос на проверку государственной регистрации ЮЛ	true	21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
21	Изменение наименования организации	2017	Запрос на проверку статуса ЮЛ	true	21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
28	Включение нового вида продукции	1027	Отзыв заявления о выдаче, продлении, переоформлении		22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
21	Изменение наименования организации	2002	Экспертиза документов		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
21	Изменение наименования организации	1030	Внесение данных в государственный реестр лицензий		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
21	Изменение наименования организации	1031	Направление заявителю выписки из государственного реестра лицензий		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
4	Заявление о прекращении	2016	Запрос на проверку государственной регистрации ЮЛ	true	2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
4	Заявление о прекращении	2017	Запрос на проверку статуса ЮЛ	true	2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
4	Заявление о прекращении	2019	Запрос на проверку постановки ЮЛ на учет в налоговом органе	true	2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
30	Устранение технических ошибок	1027	Отзыв заявления о выдаче, продлении, переоформлении		22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
4	Заявление о прекращении	1027	Отзыв заявления о выдаче, продлении, переоформлении		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
4	Заявление о прекращении	1030	Внесение данных в государственный реестр лицензий		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
4	Заявление о прекращении	1031	Направление заявителю выписки из государственного реестра лицензий		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
4	Заявление о прекращении	2041	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
5	Заявление о возобновлении	2038	Приказ на проведение оценки соответствия организации лицензионным требованиям		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
5	Заявление о возобновлении	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
5	Заявление о возобновлении	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
5	Заявление о возобновлении	2037	Задание на проведение оценки соответствия организации лицензионным требованиям		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
5	Заявление о возобновлении	1027	Отзыв заявления о выдаче, продлении, переоформлении		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
5	Заявление о возобновлении	1031	Направление заявителю выписки из государственного реестра лицензий		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
